Date,signal,zscore,daily_pnl,cumulative_pnl
2019-02-13,0,0.7154129550718464,-0.0,0.0
2019-02-14,0,0.5976511715624108,0.0,0.0
2019-02-15,0,0.7457345295582556,-0.0,0.0
2019-02-19,0,0.6499476986959809,-0.0,0.0
2019-02-20,0,0.48850744219110026,-0.0,0.0
2019-02-21,0,0.3412217259009899,0.0,0.0
2019-02-22,0,0.31053986050004534,0.0,0.0
2019-02-25,0,0.46047467831947536,-0.0,0.0
2019-02-26,0,0.3243408096009299,-0.0,0.0
2019-02-27,0,0.1402599307980912,-0.0,0.0
2019-02-28,0,0.22144907543345815,0.0,0.0
2019-03-01,0,-0.044343047287074125,-0.0,0.0
2019-03-04,0,-0.5126904988506316,0.0,0.0
2019-03-05,0,-0.1842321252810989,0.0,0.0
2019-03-06,0,-0.4702713957565094,0.0,0.0
2019-03-07,0,-0.8643448041166515,0.0,0.0
2019-03-08,0,0.7595879585549541,-0.0,0.0
2019-03-11,0,0.033419985529948945,-0.0,0.0
2019-03-12,0,0.13876099565135536,-0.0,0.0
2019-03-13,0,-0.37993365192937834,-0.0,0.0
2019-03-14,0,-1.1335626980657234,-0.0,0.0
2019-03-15,0,-2.350769941983981,-0.0,0.0
2019-03-18,0,-0.23501360866433357,-0.0,0.0
2019-03-19,0,-1.3631098145850193,-0.0,0.0
2019-03-20,1,-3.723638954380177,-15.0,-15.0
2019-03-21,1,-3.057159163289252,-66.67827950960171,-81.67827950960171
2019-03-22,1,-3.026999825930104,837.4057687935689,755.7274892839672
2019-03-25,1,-2.1820377588651514,364.27710334773826,1120.0045926317055
2019-03-26,1,-1.9075781411005737,-410.4877955620585,709.5167970696469
2019-03-27,1,-1.348025073059613,384.9003065852445,1094.4171036548914
2019-03-28,1,-1.5155251278753905,-405.799934785623,688.6171688692684
2019-03-29,1,-1.4302037690304805,-179.46378311143778,509.1533857578306
2019-04-01,1,-1.1832001587948768,-838.3518485590266,-329.198462801196
2019-04-02,1,-1.0291726713091978,-95.90360991660413,-425.1020727178001
2019-04-03,1,-0.5199743379774148,-365.9335241929366,-791.0355969107368
2019-04-04,1,-0.6531352547016546,-358.7188276771969,-1149.7544245879337
2019-04-05,1,-0.5116189624774655,30.410682897048027,-1119.3437416908857
2019-04-08,1,-0.5052156511680349,-53.475077127710726,-1172.8188188185964
2019-04-09,1,-0.2783005630197175,456.65999024769894,-716.1588285708974
2019-04-10,0,0.5042680962144414,-45.260977134581694,-761.4198057054791
2019-04-11,0,-0.02202989934966167,-0.0,-761.4198057054791
2019-04-12,0,-0.5039413122942689,-0.0,-761.4198057054791
2019-04-15,1,-2.7409819698144164,-15.0,-776.4198057054791
2019-04-16,1,-2.705566021983783,-606.2137263181928,-1382.633532023672
2019-04-17,1,-1.8037919125702857,-608.2543109870292,-1990.887843010701
2019-04-18,1,-1.5565960943375672,411.09971289796647,-1579.7881301127345
2019-04-22,1,-1.6066822362248834,124.74364448681067,-1455.044485625924
2019-04-23,1,-1.6975425878984893,-66.19749477296942,-1521.2419803988932
2019-04-24,1,-2.5615088039551277,-198.17887137406152,-1719.4208517729548
2019-04-25,1,-2.0039277912654816,108.33154331490121,-1611.0893084580537
2019-04-26,1,-1.9001449459429023,-353.66888372530076,-1964.7581921833544
2019-04-29,1,-1.4970172855838257,-440.6938617643963,-2405.4520539477508
2019-04-30,1,-1.4857972499929242,100.95450005195451,-2304.497553895796
2019-05-01,1,-1.1208763576296195,427.73086107253675,-1876.7666928232593
2019-05-02,1,-1.1874816846366754,-161.11735452845542,-2037.8840473517148
2019-05-03,1,-0.6724868880287629,-56.71989825732811,-2094.603945609043
2019-05-06,1,-0.6234330526988834,198.36329008821218,-1896.2406555208308
2019-05-07,1,-0.717894755093044,537.9888736776427,-1358.2517818431882
2019-05-08,1,-0.9516281218211979,49.84457121367299,-1308.4072106295152
2019-05-09,1,-0.6480745279931484,93.06611674346242,-1215.341093886053
2019-05-10,1,-0.3978327604560234,102.41235217919316,-1112.9287417068597
2019-05-13,1,-0.35511027012052415,1255.3740023557039,142.44526064884417
2019-05-14,0,0.19321453908263675,184.74174081205066,327.18700146089486
2019-05-15,0,0.3606481547394143,0.0,327.18700146089486
2019-05-16,0,0.832620058965486,-0.0,327.18700146089486
2019-05-17,0,0.7573246525484771,0.0,327.18700146089486
2019-05-20,0,0.7611883616406063,-0.0,327.18700146089486
2019-05-21,0,0.863929797710949,-0.0,327.18700146089486
2019-05-22,0,0.7338917196321141,0.0,327.18700146089486
2019-05-23,0,0.5303351700446293,0.0,327.18700146089486
2019-05-24,0,0.7454375823775108,-0.0,327.18700146089486
2019-05-28,0,0.43934988714481155,0.0,327.18700146089486
2019-05-29,0,0.14092233166650878,-0.0,327.18700146089486
2019-05-30,0,0.34045505217724037,0.0,327.18700146089486
2019-05-31,0,-0.1956138744634355,0.0,327.18700146089486
2019-06-03,0,0.08255946058981176,0.0,327.18700146089486
2019-06-04,0,0.5233247176268783,-0.0,327.18700146089486
2019-06-05,0,-0.0877994502893882,-0.0,327.18700146089486
2019-06-06,0,-0.10113160113743269,-0.0,327.18700146089486
2019-06-07,0,0.027287147225985946,0.0,327.18700146089486
2019-06-10,0,1.255435381520372,-0.0,327.18700146089486
2019-06-11,0,0.843985397712638,-0.0,327.18700146089486
2019-06-12,0,0.15787795781896538,0.0,327.18700146089486
2019-06-13,0,0.20187534563217344,-0.0,327.18700146089486
2019-06-14,0,0.566110179086766,0.0,327.18700146089486
