Date,signal,zscore,daily_pnl,cumulative_pnl
2019-02-13,0,-0.6402283174818051,0.0,0.0
2019-02-14,0,-0.6003934365269524,0.0,0.0
2019-02-15,0,-0.9800286186557392,-0.0,0.0
2019-02-19,0,-1.0662706393750716,-0.0,0.0
2019-02-20,0,-0.9387270655805805,0.0,0.0
2019-02-21,0,-1.0557789879543598,-0.0,0.0
2019-02-22,0,-1.0224500970622332,0.0,0.0
2019-02-25,0,-1.2657647611213787,-0.0,0.0
2019-02-26,0,-1.5689354817924517,-0.0,0.0
2019-02-27,0,-2.339602516175907,-0.0,0.0
2019-02-28,0,-2.437345674432551,-0.0,0.0
2019-03-01,0,-2.078094340657681,0.0,0.0
2019-03-04,0,-2.07321927728194,-0.0,0.0
2019-03-05,0,-2.19510473246284,-0.0,0.0
2019-03-06,0,-1.6683467095696776,0.0,0.0
2019-03-07,0,-1.9556769520649266,-0.0,0.0
2019-03-08,0,-1.6808807876181635,0.0,0.0
2019-03-11,0,-0.8511357863259127,0.0,0.0
2019-03-12,0,-0.7614875086328196,0.0,0.0
2019-03-13,0,-0.8129454520190661,-0.0,0.0
2019-03-14,0,-0.4879881127692808,0.0,0.0
2019-03-15,0,-0.29982795642140886,0.0,0.0
2019-03-18,0,-0.0483443336808204,0.0,0.0
2019-03-19,0,-0.025810438529288517,-0.0,0.0
2019-03-20,0,-0.13170106914885207,-0.0,0.0
2019-03-21,0,-0.28006611252749447,-0.0,0.0
2019-03-22,0,-0.35440271726296496,-0.0,0.0
2019-03-25,0,0.33320831475294876,0.0,0.0
2019-03-26,0,0.5817422613788317,0.0,0.0
2019-03-27,0,0.47503189267380075,-0.0,0.0
2019-03-28,0,-0.26388393736978694,-0.0,0.0
2019-03-29,0,-0.24531817296246552,-0.0,0.0
2019-04-01,0,0.10697164261592991,0.0,0.0
2019-04-02,0,-0.703434077583532,-0.0,0.0
2019-04-03,0,-0.47010505419764986,0.0,0.0
2019-04-04,0,-1.0734822529029773,-0.0,0.0
2019-04-05,0,0.08880832637573689,0.0,0.0
2019-04-08,0,-0.5163367514967377,-0.0,0.0
2019-04-09,0,-0.41861732503445453,0.0,0.0
2019-04-10,0,1.919128409112423,0.0,0.0
2019-04-11,0,1.8412000693702664,0.0,0.0
2019-04-12,0,1.9190482795978372,0.0,0.0
2019-04-15,0,1.5282508274225857,-0.0,0.0
2019-04-16,0,1.4847513516310005,-0.0,0.0
2019-04-17,0,1.797715387073239,0.0,0.0
2019-04-18,0,1.1928084207855776,-0.0,0.0
2019-04-22,0,1.8278990815355831,0.0,0.0
2019-04-23,0,0.9097638662777889,-0.0,0.0
2019-04-24,0,0.39006979294591265,-0.0,0.0
2019-04-25,0,1.8164561254209814,0.0,0.0
2019-04-26,0,2.1848190975293256,0.0,0.0
2019-04-29,0,1.9920850732013116,0.0,0.0
2019-04-30,0,2.090934858593645,0.0,0.0
2019-05-01,0,2.187511121106932,0.0,0.0
2019-05-02,0,1.9516516768749181,0.0,0.0
2019-05-03,0,1.7696836772985653,-0.0,0.0
2019-05-06,0,1.0669311012677658,-0.0,0.0
2019-05-07,0,0.4491289959466313,-0.0,0.0
2019-05-08,0,-0.32497424541944286,-0.0,0.0
2019-05-09,0,-0.5353425086615242,-0.0,0.0
2019-05-10,0,-0.10018597302451987,0.0,0.0
2019-05-13,0,-0.6448218827294772,-0.0,0.0
2019-05-14,0,0.223761960792085,0.0,0.0
2019-05-15,0,0.09386359284158025,-0.0,0.0
2019-05-16,0,0.8983855254991927,0.0,0.0
2019-05-17,0,0.3067953339752599,-0.0,0.0
2019-05-20,0,-0.4945859143673408,-0.0,0.0
2019-05-21,0,-0.5964422293324269,-0.0,0.0
2019-05-22,0,-1.4551919885868836,-0.0,0.0
2019-05-23,0,-2.665767709019833,-0.0,0.0
2019-05-24,0,-2.1620050001498496,0.0,0.0
2019-05-28,0,-1.7697918099343921,0.0,0.0
2019-05-29,0,-1.5407733528206642,0.0,0.0
2019-05-30,0,-2.022403386117037,-0.0,0.0
2019-05-31,0,-2.1623987526194313,-0.0,0.0
2019-06-03,0,-1.838205715974711,0.0,0.0
2019-06-04,0,-1.6800267168891772,-0.0,0.0
2019-06-05,0,-1.5621092458812178,-0.0,0.0
2019-06-06,0,-1.484026035234483,-0.0,0.0
2019-06-07,0,-1.3831462664142329,-0.0,0.0
2019-06-10,0,-1.0970138728703,0.0,0.0
2019-06-11,0,-0.8796228268890427,0.0,0.0
2019-06-12,0,-0.5493584696903218,0.0,0.0
2019-06-13,0,-0.4835020168036349,-0.0,0.0
2019-06-14,0,-0.4747526568585231,-0.0,0.0
