Date,signal,zscore,daily_pnl,cumulative_pnl
2019-02-13,0,1.5757249620279734,0.0,0.0
2019-02-14,1,-3.8430518877575794,-15.0,-15.0
2019-02-15,1,-3.7945740861861803,-157.23068573712814,-172.23068573712814
2019-02-19,1,-3.2202096648043255,-91.09741321267762,-263.32809894980574
2019-02-20,1,-2.5519091287320452,62.58116844131353,-200.7469305084922
2019-02-21,1,-1.8959894980539855,162.15430891504852,-38.59262159344368
2019-02-22,1,-2.098493138108646,-141.986125670559,-180.5787472640027
2019-02-25,1,-1.9552550397282482,-58.727400086424005,-239.3061473504267
2019-02-26,1,-1.8684411703938602,-53.51400663742942,-292.8201539878561
2019-02-27,1,-1.5307360153284888,70.05812278409334,-222.76203120376275
2019-02-28,1,-1.3868108423284287,60.44343083589849,-162.31860036786426
2019-03-01,1,-1.3353154529939337,-3.919513797112652,-166.2381141649769
2019-03-04,1,-1.1361548082979154,59.73294570337121,-106.5051684616057
2019-03-05,1,-1.0681119504197183,-7.6640697968217735,-114.16923825842748
2019-03-06,1,-1.1277652469283983,-47.71015711955328,-161.87939537798076
2019-03-07,1,-1.0604477373036476,-24.30843469361572,-186.18783007159647
2019-03-08,1,-1.0701431952392748,-76.72403859705203,-262.9118686686485
2019-03-11,1,-0.6207346599644185,266.6370462601534,3.7251775915049166
2019-03-12,1,-0.6268025734913941,-27.683963640628818,-23.9587860491239
2019-03-13,1,-0.5124206080804559,36.683756490732286,12.724970441608384
2019-03-14,0,-0.39601487021848114,-15.914414086987591,-3.1894436453792068
2019-03-15,0,-0.5445158257797971,-0.0,-3.1894436453792068
2019-03-18,0,-0.6383706276727045,-0.0,-3.1894436453792068
2019-03-19,0,-0.6206298876606356,0.0,-3.1894436453792068
2019-03-20,0,-0.6137353376362877,-0.0,-3.1894436453792068
2019-03-21,0,-0.7249483440701157,-0.0,-3.1894436453792068
2019-03-22,0,-0.6439170363079877,0.0,-3.1894436453792068
2019-03-25,0,-0.5668800229736394,0.0,-3.1894436453792068
2019-03-26,0,-0.32840327472587594,0.0,-3.1894436453792068
2019-03-27,0,-0.2617482917328095,-0.0,-3.1894436453792068
2019-03-28,0,-0.26155011619071444,-0.0,-3.1894436453792068
2019-03-29,0,0.061908058506638705,0.0,-3.1894436453792068
2019-04-01,0,0.09647919492392555,-0.0,-3.1894436453792068
2019-04-02,0,-0.12120127589021532,-0.0,-3.1894436453792068
2019-04-03,0,-1.1363629868133862,-0.0,-3.1894436453792068
2019-04-04,0,-0.11922729372516111,0.0,-3.1894436453792068
2019-04-05,0,-0.27970589822589,-0.0,-3.1894436453792068
2019-04-08,0,-0.370138960447036,0.0,-3.1894436453792068
2019-04-09,0,-0.1880958525755365,0.0,-3.1894436453792068
2019-04-10,0,-0.17165958955076177,-0.0,-3.1894436453792068
2019-04-11,0,0.3796867493350196,0.0,-3.1894436453792068
2019-04-12,0,-0.0365644873201575,-0.0,-3.1894436453792068
2019-04-15,0,-0.434894208627865,0.0,-3.1894436453792068
2019-04-16,0,0.5282859410255574,0.0,-3.1894436453792068
2019-04-17,1,-2.246523743738039,-15.0,-18.189443645379207
2019-04-18,1,-1.5977451328229464,40.584222216940994,22.394778571561787
2019-04-22,1,-1.2897055699821836,-2.8971128990485315,19.497665672513257
2019-04-23,0,0.5821989728276495,141.8575971200003,161.35526279251354
2019-04-24,0,0.08484564703710645,-0.0,161.35526279251354
2019-04-25,0,0.418046764556297,-0.0,161.35526279251354
2019-04-26,0,1.8776064929649365,0.0,161.35526279251354
2019-04-29,-1,2.117663742810772,-15.0,146.35526279251354
